index,year,month,tmax,tmin,rain,sun
0,2010,jan,4.5,-0.3,51.8,51.3
1,2010,feb,6.9,1.7,100.4,46.7
2,2010,mar,11.1,3.7,39.8,106.4
3,2010,apr,15.8,5.6,23.2,201.7
4,2010,may,17.3,7.7,20.6,170.4
5,2010,jun,23.5,12.1,12.4,220.1
6,2010,jul,25,15.1,18,161.8
7,2010,aug,21.6,13.2,88.6,110.9
8,2010,sep,19.4,11.2,38.2,128.7
9,2010,oct,15.2,8.3,74.8,104
10,2010,nov,9.1,4,32.2,50
11,2010,dec,3.9,-1.5,21.4,18.5
12,2011,jan,7.4,2.8,76.8,35.6
13,2011,feb,10.2,4.8,42.8,36.2
14,2011,mar,12.3,3.8,14.6,126.4
15,2011,apr,19.7,8.6,2.4,218
16,2011,may,19.4,9.4,24.6,218
17,2011,jun,20.7,11,84,173.5
18,2011,jul,21.7,12.6,49.8,173.6
19,2011,aug,21.8,13.4,68.8,144.1
20,2011,sep,21.3,12.4,35,161.2
21,2011,oct,18.1,10.1,18.4,140.4
22,2011,nov,13.6,7.3,29,52.5
23,2011,dec,9.9,3.8,63,60.6
24,2012,jan,9.8,3.4,34.4,68.5
25,2012,feb,8,1.3,16.8,84.9
26,2012,mar,14.7,4.7,16.2,180.3
27,2012,apr,13.3,4.9,98.4,141.7
28,2012,may,18.2,9.7,25.4,166.6
29,2012,jun,19.4,11.6,110.8,118.5
30,2012,jul,21.3,13.2,71.8,161.6
31,2012,aug,23.5,14.3,36.4,182.6
32,2012,sep,20,10.3,41.2,178.9
33,2012,oct,14.2,8,88.4,85.6
34,2012,nov,11,4.6,71.8,75.4
35,2012,dec,9,2.6,95.8,58